GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simplejdbcmapper,io.github.simplejdbcmapper.core,SimpleCache,10,55,1,3,2,14,3,7,2,6
simplejdbcmapper,io.github.simplejdbcmapper.core,InternalUtils,6,51,2,6,2,10,3,4,1,2
simplejdbcmapper,io.github.simplejdbcmapper.core,InsertOperation,0,383,9,39,0,87,9,24,0,9
simplejdbcmapper,io.github.simplejdbcmapper.core,DeleteOperation,0,85,0,2,0,17,0,5,0,4
simplejdbcmapper,io.github.simplejdbcmapper.core,TableMappingProvider,17,440,3,43,4,98,3,34,0,14
simplejdbcmapper,io.github.simplejdbcmapper.core,AnnotationProcessor,0,429,0,66,0,117,0,48,0,15
simplejdbcmapper,io.github.simplejdbcmapper.core,PropertyMapping,8,169,5,15,2,52,6,27,1,22
simplejdbcmapper,io.github.simplejdbcmapper.core,TableMappingProvider.new DatabaseMetaDataCallback() {...},2,9,1,1,0,3,1,2,0,2
simplejdbcmapper,io.github.simplejdbcmapper.core,TableMapping,24,286,2,32,4,65,4,33,2,18
simplejdbcmapper,io.github.simplejdbcmapper.core,UpdateOperation,0,757,6,76,0,172,6,54,0,19
simplejdbcmapper,io.github.simplejdbcmapper.core,SqlAndParams,5,21,2,2,1,7,2,3,0,3
simplejdbcmapper,io.github.simplejdbcmapper.core,SimpleJdbcMapperUtils,5,647,18,74,5,151,18,37,0,9
simplejdbcmapper,io.github.simplejdbcmapper.core,SimpleJdbcMapperSupport,9,132,0,6,3,37,3,16,3,13
simplejdbcmapper,io.github.simplejdbcmapper.core,IdPropertyInfo,5,22,1,1,1,8,1,3,0,3
simplejdbcmapper,io.github.simplejdbcmapper.core,SimpleJdbcMapper,21,140,0,0,5,33,5,19,5,19
simplejdbcmapper,io.github.simplejdbcmapper.core,FindOperation,30,381,2,22,6,80,2,21,1,10
simplejdbcmapper,io.github.simplejdbcmapper.exception,OptimisticLockingException,0,4,0,0,0,2,0,1,0,1
simplejdbcmapper,io.github.simplejdbcmapper.exception,MapperException,4,4,0,0,2,2,1,1,1,1
simplejdbcmapper,io.github.simplejdbcmapper.exception,AnnotationException,0,4,0,0,0,2,0,1,0,1
simplejdbcmapper,io.github.simplejdbcmapper.annotation,IdType,0,15,0,0,0,2,0,1,0,1
